Song,Danceability,Energy,Valence,Acousticness,Instrumentalness,Tempo,Key,Speechiness
Yellow - Treasure,0.74,0.68,0.78,0.26,0.01,116.8,7,0.05
"Voy a llevarte pa pr, bad bunny",0.84,0.76,0.67,0.18,0,128.3,10,0.16
Béni - BB Jacques,0.69,0.72,0.48,0.21,0,124.6,1,0.24
Hurts so good,0.65,0.59,0.42,0.38,0.01,112.7,6,0.06
"Danse - Biga*Ranx, Atili",0.82,0.72,0.68,0.24,0.02,124.3,9,0.08
Im not waiting for you -Gabriel,0.68,0.58,0.54,0.48,0,108.6,3,0.05
"Distance m-Flo remix (hikari utada,m-Flo)",0.78,0.72,0.63,0.18,0.12,122.7,7,0.06
Chevalier mult estes guariz - ???,0.32,0.42,0.68,0.92,0.04,98.4,5,0.04
Rich niggaz - J.Cole,0.72,0.64,0.42,0.36,0.01,118.6,8,0.26
Cupid's Girl - Marina,0.76,0.68,0.74,0.32,0.01,112.7,2,0.05
Californiaca - La Gusana Ciega,0.68,0.78,0.62,0.24,0.02,126.4,10,0.06
2 On (feat. ScHoolboy) - Tinashe,0.82,0.76,0.63,0.14,0,124.8,1,0.12
maddy - yoa,0.74,0.69,0.48,0.26,0.01,126.5,6,0.18
Manasilaayo - Anirudh Ravichander,0.68,0.72,0.78,0.44,0.03,116.8,9,0.05
That's What I Want - Lil Nas X,0.84,0.78,0.76,0.12,0,128.6,4,0.08
Get it together - Drake,0.76,0.64,0.58,0.26,0.02,122.4,7,0.14
Viva la vida-Coldplay,0.63,0.76,0.48,0.28,0.04,128.7,2,0.05
You - coco Jones,0.72,0.68,0.64,0.32,0,114.6,5,0.06
"The Motto - Tiesto, Ava Max",0.84,0.82,0.72,0.09,0.02,130.8,1,0.05
The stars get dark - INABAKUMORI,0.64,0.73,0.42,0.27,0.08,126.4,8,0.06
BLACK FLAG FREESTYLE - Denzel Curry,0.68,0.92,0.36,0.08,0,136.8,11,0.32
Sports Car - Tate McRae,0.76,0.72,0.64,0.24,0,124.6,3,0.07
sailor song - gigi perez,0.58,0.42,0.72,0.82,0.06,96.4,7,0.04
Back to friends - sombr,0.68,0.54,0.46,0.52,0.02,108.6,5,0.05
UnRelatable - Zay Dante,0.74,0.68,0.42,0.21,0,128.7,9,0.22
The crime Taylor Bickett,0.62,0.74,0.36,0.26,0.01,124.6,6,0.07
Oscar winning tears - Raye,0.68,0.58,0.42,0.48,0,112.7,2,0.06
Shivers - Ed Sheeran,0.74,0.82,0.68,0.18,0,128.4,8,0.05
"Getaway - Tritonal, Angel Taylor, Koven",0.76,0.86,0.64,0.12,0.08,132.6,1,0.04
Hey Now - Martin Solveig,0.84,0.78,0.72,0.14,0.04,126.8,10,0.06
Lovers-Anna of the North,0.62,0.58,0.74,0.48,0.02,104.7,5,0.04
The winner takes it all - ABBA,0.56,0.68,0.42,0.34,0.01,117.6,9,0.04
The gambler - kenny rogers,0.52,0.46,0.72,0.78,0.02,96.4,4,0.06
1-800-hot-n-fun - LE SSERAFIM,0.82,0.78,0.68,0.16,0.01,128.4,7,0.07
You see big girl - Sawano Hiroyuki,0.48,0.82,0.38,0.14,0.64,142.6,2,0.05
Pétunias - werenoi,0.68,0.62,0.48,0.32,0,118.6,6,0.19
Don't look back in anger - Oasis,0.54,0.78,0.68,0.26,0.01,126.8,9,0.05
Die with a smile - Bruno Mars,0.48,0.52,0.62,0.78,0,94.6,3,0.04
Voy à llevarte pa pr - Bad Bunny,0.84,0.76,0.67,0.18,0,128.3,1,0.16
Staline - elgrande toto,0.68,0.73,0.42,0.24,0,126.5,8,0.28
Stay a little longer - Rosé,0.64,0.72,0.58,0.32,0,124.6,5,0.06
Blue - Yung Kai,0.72,0.68,0.42,0.28,0.02,128.7,7,0.08
Dmtf - bad bunny,0.82,0.78,0.64,0.16,0,126.4,11,0.18
Something Just Like This - Coldplay,0.72,0.78,0.68,0.22,0.01,126.8,4,0.05
รักปอนปอน - Micro,0.76,0.62,0.82,0.42,0.02,108.7,10,0.04
Feel Good Inc - Gorillaz,0.78,0.72,0.65,0.24,0.14,122.8,1,0.07
Juno - Sabrina Carpenter,0.81,0.76,0.62,0.18,0,126.7,6,0.06
สองมาตรฐาน-Only Monday,0.68,0.56,0.44,0.64,0.01,104.8,9,0.05
Palette - IU,0.64,0.48,0.72,0.58,0.03,98.6,3,0.04
circles/seventeen,0.74,0.62,0.68,0.36,0.01,112.7,7,0.05
Puppet Can't Control you (Japanese Version) - One Ok Rock,0.52,0.88,0.48,0.14,0.02,142.8,2,0.08
Deja Vu - TXT,0.76,0.82,0.64,0.18,0.01,128.7,5,0.07
what makes you beautiful,0.82,0.78,0.86,0.21,0,126.4,8,0.06
Waking the Demon - Bullet For My Valentines,0.32,0.97,0.28,0.04,0.03,174.6,1,0.13
Sweetest Pie Megan Thee Stallion and Dua Lipa,0.78,0.74,0.68,0.16,0,124.8,10,0.14
omoikiri - indigo la end,0.64,0.72,0.58,0.38,0.02,116.7,6,0.05
New Light - John Mayer,0.74,0.58,0.76,0.42,0.03,106.8,9,0.04
กำเเพงหัวใจ - Mirr,0.62,0.54,0.48,0.68,0.01,98.6,3,0.05
Le Freak - CHIC,0.86,0.78,0.92,0.22,0.12,122.8,7,0.06
Cartoon sex de Miki,0.76,0.82,0.63,0.14,0.02,128.6,4,0.09
Best day ever - Mac Miller,0.72,0.64,0.86,0.32,0.01,114.7,8,0.08
"Young, Wild and Free - Snoop Dog",0.78,0.68,0.84,0.26,0,118.6,1,0.14
Un homme heureux - william sheller,0.46,0.42,0.76,0.88,0.02,94.6,6,0.05
wildflower - billie eilish,0.52,0.38,0.42,0.76,0,88.4,9,0.04
i love you i m sorry - gracie abrams,0.48,0.52,0.36,0.72,0,98.6,2,0.05
Addicted - overrated,0.74,0.78,0.56,0.18,0.01,128.7,5,0.07
Trying to be cool - Phoenix,0.76,0.68,0.72,0.24,0.05,116.8,8,0.06
PJ - Everything in its right place,0.42,0.62,0.38,0.46,0.68,104.7,11,0.04
I believe to my soul - Ray Charles,0.58,0.64,0.74,0.78,0.03,112.6,3,0.06
"Dance into the moonlight, Jael",0.82,0.72,0.68,0.26,0.08,122.8,7,0.05
Bul ma miin Orchestra Baobab,0.74,0.62,0.86,0.58,0.18,108.7,1,0.04
HERE WE GO! - Lil Nas X,0.84,0.88,0.78,0.12,0,132.6,6,0.08
Kids arent alright-The offspring,0.62,0.88,0.42,0.16,0.02,136.8,9,0.07
CHANCES - KAYTRANADA,0.82,0.76,0.68,0.18,0.36,124.7,5,0.05
The Temple Of The King - Rainbow,0.48,0.72,0.52,0.36,0.12,106.8,8,0.04
Dog days are over - Florence + the machine,0.64,0.78,0.68,0.32,0.02,124.6,2,0.05
Lost For Words - Pink Floyd,0.34,0.58,0.42,0.64,0.42,96.8,7,0.03
Diamonds,0.68,0.74,0.63,0.28,0,124.8,5,0.06
Día Tres - Canseco,0.72,0.64,0.58,0.42,0.03,116.7,9,0.07
APT - Rosé & Bruno Mars,0.76,0.72,0.64,0.24,0,124.6,1,0.06
Eddy Mitchell Couleur menthe à l'eau,0.52,0.46,0.72,0.82,0.04,98.7,4,0.05
Heaven beside you - alice in chains,0.48,0.78,0.36,0.32,0.04,128.6,10,0.06
Space bound,0.64,0.76,0.38,0.22,0,132.8,8,0.28
A dix - Kalash Criminel,0.68,0.74,0.42,0.16,0,126.5,3,0.32
Sunny Day - MR TOUT LE MONDE,0.72,0.62,0.84,0.38,0.02,108.7,6,0.05
Turquoise Galaxy - Yussef Dayes,0.62,0.74,0.58,0.42,0.63,114.8,9,0.04
Les cosaques - Choeur de Montjoie Saint-Denis,0.38,0.72,0.64,0.86,0.08,126.8,2,0.06
Somebody to You- The Vamps,0.74,0.78,0.76,0.22,0,124.7,5,0.05
Ready To Fly - Masayoshi Takanaka,0.68,0.62,0.78,0.48,0.36,112.6,1,0.04
Wadibusa - Uncle Waffles,0.88,0.76,0.72,0.16,0.02,128.4,8,0.08
Bed chem - sabrina carpenter,0.76,0.68,0.62,0.28,0,118.7,11,0.06
The pretender - Foo Fighters,0.58,0.94,0.68,0.08,0.02,148.7,4,0.07
Azul - J balvin,0.84,0.76,0.82,0.24,0,124.8,7,0.14
Eyes Without A Face - Billy Idol,0.62,0.72,0.56,0.38,0.06,116.8,9,0.05
Star - Colde,0.68,0.58,0.72,0.46,0.03,102.7,3,0.04
Night Scene,0.72,0.68,0.54,0.32,0.18,114.8,6,0.06
La mudanza - Bad Bunny,0.82,0.74,0.68,0.22,0,126.5,1,0.16
Selfish Waltz - ateez,0.64,0.76,0.52,0.26,0.02,128.6,10,0.07
"82 Pressin'- Mark, Haechan",0.78,0.82,0.64,0.18,0.01,130.8,8,0.08
Freak- Doja cat,0.82,0.78,0.72,0.14,0,124.8,5,0.09
la valse de mamie - ben mazué,0.42,0.36,0.68,0.92,0.02,88.6,7,0.04
Detroit - Badflower,0.58,0.86,0.42,0.16,0.02,144.7,2,0.08
A dangerous thing - Aurora,0.52,0.64,0.36,0.56,0.08,102.8,9,0.04
Gasolina - daddy yankee,0.86,0.82,0.78,0.12,0,132.6,1,0.18
Wildflower - Billie Eilish,0.52,0.38,0.42,0.76,0,88.4,4,0.04
Don Juan - Richard Strauss,0.28,0.84,0.48,0.64,0.92,126.8,6,0.03
Billie Bossa Nova- Billie Eilish,0.68,0.42,0.56,0.72,0.01,98.7,8,0.04
Cheese and wine - DPR live,0.76,0.68,0.64,0.32,0.02,118.6,3,0.06
Shh...Don't Say It - Fletcher,0.72,0.64,0.48,0.38,0,114.7,5,0.05
"Wait a minute! - HAAN, Chan, h3hyeon",0.78,0.74,0.62,0.24,0.02,124.8,7,0.08
"Galbi, Léna",0.64,0.58,0.72,0.48,0.01,108.6,9,0.06
Ojos Tristes (with the Marías) - Selena Gomez,0.71,0.48,0.63,0.58,0.04,96.3,2,0.04
Thats so true,0.42,0.51,0.32,0.76,0,92.6,5,0.05
"On tombe, on réessaye - BEN plg",0.62,0.68,0.58,0.36,0,118.7,1,0.08
Nostalgic -NoGuidnce,0.74,0.64,0.48,0.28,0.01,112.6,8,0.12
Mona Lisa (jhope),0.76,0.72,0.58,0.18,0.01,126.5,4,0.13
Les terres saintes - ???,0.42,0.62,0.48,0.72,0.04,106.8,7,0.05
No Role Model - J.Cole,0.72,0.68,0.52,0.24,0,128.6,10,0.28
Pandémonium - Vald,0.69,0.78,0.43,0.12,0,129.6,1,0.28
Only Friend - Wallows,0.64,0.58,0.72,0.46,0.02,108.7,6,0.05
Bodies - Bryce Fox,0.68,0.82,0.46,0.16,0.01,132.8,9,0.06
K. cigaret after sex,0.38,0.34,0.42,0.88,0.12,82.6,3,0.03
Marco Teaser Theme - Ravi Basrur,0.56,0.86,0.64,0.28,0.48,134.8,5,0.04
Castle on the Hill - Ed Sheeran,0.58,0.78,0.68,0.32,0,132.6,7,0.05
Doo wop - Lauryn Hil',0.72,0.64,0.82,0.42,0.01,108.7,1,0.09
Self love-Metro Boomin,0.76,0.68,0.54,0.22,0,124.8,8,0.16
Eternal Sunshine Deluxe: Brighter Days Ahead - Ariana Grande,0.64,0.72,0.68,0.36,0.01,118.7,4,0.06
"Sunset Blvd - Selena Gomez, Benny Blanco",0.78,0.64,0.72,0.28,0.02,112.6,9,0.05
嘘月 - Yorushika,0.68,0.76,0.58,0.24,0.02,128.7,6,0.04
Uragirimono Requiem - Yugo Kanno,0.64,0.88,0.68,0.14,0.32,138.6,2,0.06
Disparate Youth - Santigold,0.76,0.78,0.62,0.22,0.05,126.8,5,0.07
the giver - chappell roan,0.62,0.68,0.54,0.38,0,114.7,8,0.05
Half a Man - Dean Lewis,0.46,0.52,0.36,0.84,0.01,94.6,3,0.04
Phurrr - Diplo & Pritam,0.78,0.84,0.68,0.16,0.04,132.6,7,0.08
Shiver Asha Banks,0.74,0.68,0.52,0.32,0.01,118.7,10,0.06
Headlock - Imogen Heap,0.58,0.62,0.48,0.56,0.12,106.8,1,0.05
You are the reason - Calum Scott,0.38,0.42,0.54,0.92,0,88.6,4,0.04
Genesis - Justice,0.72,0.86,0.58,0.14,0.48,136.8,9,0.05
Timeless - The Weeknd,0.78,0.68,0.64,0.26,0.02,122.8,6,0.06
Murder - Hamza,0.72,0.76,0.42,0.18,0,128.4,3,0.26
ZITTI E BUONI - Måneskin,0.56,0.93,0.69,0.08,0.02,138.7,5,0.08
Thunderstruck - AC/ DC,0.46,0.98,0.72,0.06,0.04,156.8,8,0.06
"COEUR DE ICE - Zola, Damso",0.68,0.72,0.38,0.24,0,128.4,1,0.24
Toxic till the end - Rosé,0.74,0.78,0.48,0.22,0,126.7,7,0.06
Summertime sadness - Lana del rey,0.56,0.62,0.32,0.48,0.01,112.6,10,0.05
Through the fire and flames - DragonForce,0.32,0.98,0.64,0.04,0.06,186.4,4,0.05
Une belle histoire - Michel Fugain,0.58,0.46,0.84,0.76,0.02,98.7,6,0.04
And you don't remember - Mariah Carey,0.62,0.52,0.36,0.64,0,92.6,9,0.05
Bad romance - laylow,0.74,0.78,0.48,0.18,0.01,128.4,2,0.12
Die with a smile - Bruno Mars,0.48,0.52,0.62,0.78,0,94.6,5,0.04
Il bat - lekchan,0.68,0.64,0.48,0.32,0,112.6,8,0.16
Take your mask off- tyler the creator,0.72,0.68,0.54,0.26,0,126.4,3,0.18
A Sky Full of Stars - Coldplay,0.64,0.85,0.72,0.18,0.04,128.6,7,0.05
Have a good summer (Without me) - Valley,0.76,0.68,0.82,0.38,0.02,116.7,1,0.06
Sugar - Maroon 5,0.78,0.72,0.84,0.22,0,122.8,6,0.05
GPT - StayC,0.82,0.84,0.76,0.14,0.01,128.6,10,0.07
Best Friend 4ever- serious bacon,0.74,0.68,0.84,0.32,0.01,118.7,9,0.06
Apple pie - Lizzy McAlpine,0.58,0.48,0.62,0.76,0,98.6,4,0.04
BLUE/BIGBANG,0.48,0.72,0.38,0.26,0.01,114.7,7,0.06
"Just awake - Fear, and Loathing in Las Vegas",0.68,0.92,0.58,0.08,0.02,146.8,2,0.07
Die for me - Chase Atlantic,0.72,0.78,0.36,0.18,0.01,132.6,5,0.08
espresso,0.82,0.78,0.72,0.14,0,130.6,1,0.07
Caramel - Sleep Token,0.46,0.76,0.42,0.28,0.04,114.8,8,0.05
One Kiss Calvin Harris & Dua Lipa,0.86,0.78,0.74,0.12,0.02,124.6,3,0.06