age,gender,change_mood,mental_score,pop,rock,hip-hop/rap,country,classical,jazz,folk,metal,electronic/dance,others,Song,Danceability,Energy,Valence,Acousticness,Instrumentalness,Tempo,Key,Speechiness,1-2 hours,3-4 hours,Less than 1 hour,More than 5 hours,music_type_matches_mood,music_type_no_music_when_down,music_type_contrasts_mood,music_type_both
22,0.0,1,13.25,1,0,0,0,1,1,0,0,0,0,Under a blanket of blue - Ella Firzgerald & Louis Armstrong,0.28,0.21,0.68,0.92,0.05,72.4,5,0.04,1,0,0,0,1,0,0,0
22,0.0,0,6.000000000000001,1,0,1,0,0,0,0,0,1,0,ผิงไฟ - Max Jenmana,0.42,0.38,0.61,0.85,0.12,98.6,7,0.03,1,0,0,0,0,1,0,0
21,0.0,0,6.499999999999999,1,0,1,0,0,0,0,1,0,0,ใจพัง -Saran,0.56,0.74,0.22,0.31,0.02,126.8,9,0.06,0,0,1,0,0,1,0,0
22,1.0,1,4.25,1,1,0,0,0,0,0,0,1,1,Denial is a river - Doechi,0.77,0.68,0.48,0.18,0.02,139.2,1,0.18,1,0,0,0,1,0,0,0
20,1.0,1,5.5,0,1,1,0,0,0,0,0,1,1,She's gone Dance on de Disclosure,0.85,0.81,0.63,0.12,0.08,124.3,10,0.05,1,0,0,0,0,0,1,0
20,0.0,0,0.0,1,1,0,0,0,0,0,0,0,0,Plug in baby - Muse,0.52,0.94,0.61,0.15,0.03,137.6,4,0.07,0,1,0,0,1,0,0,0
21,0.0,1,6.75,1,1,1,0,0,0,0,0,1,0,Feo - Fiti y Fitipaldis,0.63,0.85,0.72,0.24,0.01,128.4,6,0.06,1,0,0,0,0,0,0,1
22,1.0,0,9.25,1,1,0,0,0,1,0,0,0,0,Someday - The Strokes,0.67,0.89,0.74,0.13,0.01,152.7,2,0.08,0,0,1,0,1,0,0,0
22,1.0,1,9.25,1,0,1,0,0,0,0,0,1,0,feel good - charlotte cardin,0.71,0.52,0.35,0.56,0.0,116.5,7,0.04,0,0,0,1,0,0,1,0
20,1.0,1,13.25,1,0,0,0,0,0,0,0,0,0,that's so true - gracie abrams,0.37,0.41,0.24,0.79,0.0,87.3,3,0.05,1,0,0,0,1,0,0,0
20,0.0,1,1.7500000000000004,1,0,1,0,0,0,0,0,1,1,"LET ME BE YOUR HALO - horja,neconi",0.63,0.84,0.54,0.19,0.32,133.2,9,0.07,0,1,0,0,1,0,0,0
21,1.0,1,8.75,1,0,1,0,0,0,0,0,1,1,Gone - Midi Memory,0.78,0.69,0.58,0.22,0.26,121.6,8,0.04,1,0,0,0,1,0,0,0
23,0.0,1,11.25,1,1,0,0,0,0,0,0,1,0,Disclosure - Seduction,0.84,0.91,0.73,0.08,0.54,124.8,1,0.06,0,1,0,0,1,0,0,0
22,0.0,0,13.5,0,1,1,0,1,0,0,0,0,1,A change is gonna come - Sam Cooke,0.33,0.44,0.58,0.88,0.02,69.2,5,0.05,1,0,0,0,1,0,0,0
21,1.0,0,2.250000000000001,1,0,1,0,0,0,0,0,0,0,"No one noticed, The Marias",0.56,0.49,0.62,0.68,0.17,98.3,3,0.04,0,1,0,0,1,0,0,0
21,0.0,1,5.5,1,0,1,0,1,1,0,0,0,0,Million Zamdane,0.73,0.68,0.41,0.16,0.0,125.6,11,0.32,1,0,0,0,0,1,0,0
20,0.0,1,8.25,1,1,1,0,0,0,0,0,0,1,Eyes Closed - Imagine Dragons,0.62,0.83,0.55,0.21,0.0,138.2,6,0.06,0,0,1,0,0,0,1,0
22,0.0,0,1.4999999999999991,0,1,1,0,0,0,0,0,1,0,Peur-Kerchak,0.61,0.74,0.38,0.22,0.04,124.5,9,0.09,0,0,1,0,0,0,1,0
20,1.0,1,-1.0000000000000009,1,1,1,0,0,0,0,0,1,0,Getting to know ya - Nao,0.79,0.66,0.72,0.38,0.01,118.2,2,0.04,0,0,0,1,1,0,0,0
20,0.0,1,10.0,1,1,0,0,1,1,1,0,0,0,Bummerland - AJR,0.68,0.72,0.63,0.31,0.0,126.7,7,0.07,1,0,0,0,0,0,1,0
22,0.0,0,7.5,1,1,0,0,0,0,0,0,0,0,I don't need no doctor - John Mayer,0.59,0.88,0.77,0.28,0.02,133.4,0,0.06,1,0,0,0,0,0,0,0
23,0.0,0,-18.75,1,1,1,1,1,1,1,1,1,1,The emptiness machine - Linkin Park,0.42,0.92,0.31,0.09,0.05,128.6,8,0.1,0,0,0,1,0,1,0,0
55,1.0,1,-4.25,0,0,0,1,1,0,0,0,0,1,California,0.67,0.58,0.82,0.41,0.01,108.3,5,0.04,0,0,1,0,0,0,0,0
26,0.0,1,8.5,0,1,0,1,0,1,0,1,1,0,Be Here Now - Basement,0.54,0.87,0.46,0.19,0.02,145.2,2,0.06,1,0,0,0,0,0,1,0
22,0.0,1,-0.7499999999999996,1,1,0,0,0,0,0,0,1,1,Ma meilleure ennemie - Stromae & Pomme,0.68,0.72,0.43,0.26,0.0,116.7,9,0.08,0,1,0,0,1,0,0,0
52,0.0,1,6.25,1,0,1,0,0,1,0,0,0,0,Bruno Mars / Lady Gaga Die with a smile,0.48,0.51,0.66,0.72,0.0,92.4,3,0.04,1,0,0,0,1,0,0,0
22,0.0,0,10.0,0,1,0,0,0,0,0,1,0,0,Skrzydlate ręce - enej,0.76,0.68,0.82,0.27,0.03,128.3,7,0.05,0,1,0,0,0,0,0,0
20,0.0,0,0.0,0,1,1,0,0,0,0,0,0,0,Black magic,0.74,0.67,0.58,0.19,0.07,123.4,10,0.06,1,0,0,0,0,1,0,0
20,0.0,1,6.0,1,0,1,0,0,0,0,0,1,0,PANDEMONIUM - Vald,0.69,0.78,0.43,0.12,0.0,129.6,1,0.28,1,0,0,0,0,0,0,0
22,0.0,1,9.75,0,1,0,0,0,0,0,0,1,0,"""Song 2"" - Blur",0.47,0.96,0.68,0.06,0.02,130.2,4,0.07,1,0,0,0,0,0,1,0
21,1.0,1,9.75,0,1,1,0,1,1,0,0,1,0,Bleed - Malcom Todd,0.48,0.83,0.32,0.24,0.01,134.7,8,0.05,0,0,0,1,1,0,0,0
20,0.0,0,4.5,0,0,0,0,1,0,0,0,0,1,La marche de Radetsky - Strauss,0.38,0.76,0.84,0.56,0.91,128.3,3,0.03,1,0,0,0,1,0,0,0
23,0.0,0,8.25,0,0,1,0,0,0,0,0,0,0,Nightmarez - Duvy,0.72,0.68,0.27,0.16,0.03,135.2,11,0.23,0,1,0,0,0,0,1,0
23,0.0,1,3.2499999999999996,0,1,0,0,1,1,0,0,0,1,Turangalila Symphony - Olivier Messiaen,0.21,0.78,0.48,0.67,0.93,96.5,6,0.03,1,0,0,0,0,0,0,0
22,0.0,1,14.0,1,0,0,0,0,0,0,0,0,1,Position Backshot - Blicassty,0.85,0.74,0.64,0.07,0.0,128.9,1,0.24,0,1,0,0,1,0,0,0
25,1.0,0,-5.5,1,0,0,0,0,0,0,0,0,0,360 - charli xcx,0.82,0.88,0.67,0.11,0.12,130.6,7,0.06,0,0,1,0,1,0,0,0
22,0.0,0,10.0,0,1,0,0,0,0,0,1,0,0,IGYEIH - Linkin Park,0.43,0.91,0.28,0.08,0.02,138.9,10,0.09,1,0,0,0,1,0,0,0
18,1.0,1,-4.25,1,0,1,0,0,0,0,0,0,1,Beyoncé - Diva,0.78,0.81,0.72,0.12,0.01,122.6,9,0.18,0,1,0,0,1,0,0,0
21,0.0,1,4.750000000000001,1,0,1,0,1,0,0,0,0,1,Etincelle (Maradona) - Tiakola,0.76,0.69,0.57,0.14,0.0,126.8,2,0.21,0,0,1,0,0,0,1,0
22,1.0,1,0.7499999999999996,1,0,0,0,1,0,0,0,0,1,Twinkle Twinkle - Peder Elias,0.63,0.52,0.74,0.59,0.03,102.4,5,0.04,0,1,0,0,1,0,0,0
23,0.0,0,-1.4999999999999991,0,0,0,0,0,0,0,0,0,1,I miss you - Radio Mix,0.73,0.67,0.44,0.16,0.06,122.3,8,0.05,1,0,0,0,0,1,0,0
21,0.0,1,8.0,0,1,1,0,1,0,0,0,0,1,"Capaz - Alleh, Yorghaki",0.65,0.72,0.48,0.21,0.01,124.7,3,0.12,1,0,0,0,1,0,0,0
22,1.0,1,15.5,1,1,1,0,0,0,0,0,0,0,Zombieboy - Lady Gaga,0.68,0.87,0.35,0.09,0.01,128.3,1,0.07,0,1,0,0,0,0,1,0
19,1.0,1,3.5,1,0,1,0,0,0,0,0,0,0,"ExtraL- Jennie, Doechii",0.81,0.79,0.58,0.12,0.02,132.6,11,0.16,1,0,0,0,1,0,0,0
22,1.0,1,13.0,1,1,1,0,1,0,0,1,0,1,Déjà vu - Taemin,0.76,0.82,0.63,0.15,0.02,124.5,7,0.06,0,0,0,1,1,0,0,0
21,1.0,0,3.2499999999999996,1,1,1,0,1,1,0,0,0,1,back to black - amy winehouse,0.54,0.63,0.28,0.59,0.01,109.8,9,0.08,0,1,0,0,1,0,0,0
25,0.0,1,-8.0,1,1,0,1,1,0,0,1,0,1,Yours to Hold - Skillet,0.48,0.85,0.43,0.16,0.0,127.3,4,0.05,0,0,0,1,0,0,1,0
21,0.0,1,8.25,1,0,1,0,0,0,0,1,0,0,"Isis - Joyner Lucas, Logic",0.71,0.68,0.42,0.18,0.0,128.6,2,0.32,1,0,0,0,1,0,0,0
21,1.0,0,5.25,1,0,1,0,0,0,0,0,0,0,Like jennie - jennie,0.79,0.73,0.68,0.14,0.02,126.7,10,0.08,0,1,0,0,0,1,0,0
20,1.0,1,13.75,1,0,0,0,0,0,0,0,0,0,Ordinary - Alex Warren,0.62,0.66,0.48,0.38,0.0,118.3,5,0.04,0,0,1,0,1,0,0,0
21,0.0,1,11.75,0,0,0,0,1,0,0,0,0,0,Also sprach Zarathoustra - Richard Strauss,0.15,0.83,0.42,0.76,0.94,86.4,3,0.02,1,0,0,0,1,0,0,0
21,1.0,1,10.75,1,0,0,0,0,0,0,0,0,1,Téléfoot- Luidji,0.67,0.59,0.42,0.31,0.01,112.6,8,0.18,0,0,1,0,0,0,1,0
19,1.0,1,-6.499999999999999,1,0,1,0,0,1,0,0,0,1,Baby don't like it - nct u,0.74,0.78,0.64,0.16,0.01,126.8,1,0.07,0,1,0,0,1,0,0,0
25,,1,12.25,1,1,0,0,0,0,0,0,0,0,Attached to you - Fletcher,0.69,0.62,0.58,0.28,0.0,119.3,6,0.05,0,0,1,0,1,0,0,0
21,1.0,0,0.7499999999999996,0,0,0,0,0,0,0,0,0,1,"See through - Primary (Feat. Gaeko, Zion.T)",0.78,0.64,0.72,0.24,0.03,112.5,9,0.09,1,0,0,0,1,0,0,0
22,1.0,0,-10.75,1,0,1,0,0,0,0,0,0,0,Mona Lisa jhope,0.76,0.71,0.57,0.19,0.02,124.3,7,0.12,0,0,1,0,1,0,0,0
21,0.0,0,1.25,1,1,1,0,0,1,0,0,0,0,Untilted - Blaxian,0.68,0.76,0.48,0.22,0.04,126.8,11,0.08,0,1,0,0,1,0,0,0
22,1.0,1,-3.2499999999999996,1,1,0,0,0,0,0,0,0,1,Breaking dishes,0.72,0.85,0.47,0.12,0.01,129.4,2,0.09,1,0,0,0,1,0,0,0
21,0.0,1,-4.750000000000001,0,1,1,0,0,0,0,0,0,0,Kassded - H JeuneCrack,0.74,0.76,0.38,0.14,0.0,128.5,1,0.23,1,0,0,0,1,0,0,0
22,,1,-3.75,1,0,1,1,0,1,1,0,1,1,Siren sounds (bonus) -Tate McRae,0.69,0.78,0.52,0.17,0.01,126.3,5,0.07,0,1,0,0,0,0,0,0
22,1.0,1,0.0,1,1,1,0,0,0,0,0,0,1,Quarter life (txt),0.65,0.58,0.42,0.33,0.05,108.6,8,0.05,0,1,0,0,1,0,0,0
22,0.0,0,5.0,0,0,0,0,0,0,0,0,1,1,Justinian - Farya Faraji,0.22,0.73,0.47,0.63,0.88,103.4,10,0.04,0,0,1,0,0,1,0,0
21,0.0,0,3.2499999999999996,0,0,1,0,0,0,0,0,0,0,Iverson - laylow,0.68,0.72,0.43,0.18,0.0,128.6,3,0.19,1,0,0,0,1,0,0,0
23,1.0,1,10.0,1,1,1,0,1,1,0,1,1,0,Régulation - Vald,0.64,0.73,0.37,0.16,0.0,127.8,1,0.26,1,0,0,0,0,0,1,0
22,1.0,0,-5.5,1,1,0,0,0,0,0,0,0,1,Simulation Swarm - Big Thief,0.56,0.61,0.48,0.68,0.12,108.3,6,0.04,0,1,0,0,1,0,0,0
21,1.0,0,18.0,1,1,1,0,0,0,0,0,0,0,ZITTI E BUONI - Måneskin,0.56,0.93,0.69,0.08,0.02,138.7,4,0.08,0,1,0,0,1,0,0,0
22,1.0,1,-3.500000000000001,1,0,1,0,0,0,0,0,0,0,petite soeur - Houdi,0.62,0.54,0.37,0.35,0.0,102.6,9,0.14,1,0,0,0,0,0,1,0
23,0.0,1,11.25,1,0,1,0,0,0,0,0,0,0,Nan Adicha - Vijay Anthony,0.58,0.82,0.64,0.31,0.04,128.4,7,0.08,1,0,0,0,1,0,0,0
24,1.0,0,2.5,1,1,0,0,0,0,1,0,1,0,Bling-Bang-Bang-Born - Creepy Nuts,0.72,0.79,0.68,0.15,0.01,132.6,2,0.13,1,0,0,0,0,0,1,0
21,1.0,1,10.75,1,0,0,0,0,1,0,0,0,0,Éternité - Jazzy Bazz & Nekfeu,0.64,0.68,0.41,0.24,0.0,116.7,11,0.22,1,0,0,0,1,0,0,0
24,0.0,1,8.25,1,1,1,0,0,0,0,0,0,1,Mona Lisa-Dominic Fike,0.68,0.59,0.62,0.42,0.02,114.3,5,0.06,0,1,0,0,1,0,0,0
21,1.0,1,-2.250000000000001,0,0,1,0,0,0,0,0,0,1,Sunshine &rain - kali uchis,0.76,0.52,0.78,0.47,0.03,103.6,8,0.05,1,0,0,0,1,0,0,0
29,1.0,0,1.9999999999999996,1,1,0,0,0,0,0,0,1,1,Want - Taemin,0.73,0.82,0.57,0.14,0.02,124.8,10,0.07,0,0,0,1,1,0,0,0
31,0.0,0,11.5,1,1,0,0,0,1,0,0,1,1,Fake Love (orchestral) - MDP,0.32,0.76,0.26,0.62,0.78,113.7,3,0.04,1,0,0,0,1,0,0,0
17,0.0,0,7.5,1,1,1,0,0,0,0,0,1,0,Runnin' - Adam Lambert,0.68,0.85,0.64,0.16,0.0,128.4,6,0.06,1,0,0,0,0,0,0,0
21,1.0,0,3.75,1,1,1,0,0,0,0,0,1,0,Blue Lights-Jorja Smith,0.58,0.48,0.32,0.67,0.02,94.6,9,0.08,1,0,0,0,1,0,0,0
22,,1,0.7499999999999996,1,1,1,1,0,1,1,0,1,0,imgonnagetyouback - taylor swift,0.63,0.74,0.46,0.24,0.0,122.8,4,0.05,0,1,0,0,0,0,0,0
21,1.0,0,11.75,1,0,0,0,0,0,0,0,0,1,Ojos tristes - Selena Gomez,0.71,0.48,0.63,0.58,0.04,96.3,7,0.04,1,0,0,0,1,0,0,0
22,0.0,0,-5.499999999999998,0,0,0,0,0,0,0,0,1,1,"Nightcore Sexy, Naughty, Bitchy Me - Nightcore Wolfie",0.84,0.92,0.76,0.06,0.03,146.8,1,0.09,0,0,0,1,0,0,0,0
16,1.0,1,0.5000000000000004,1,0,1,0,0,0,1,0,0,1,Risk Gracie Abrams,0.48,0.53,0.38,0.72,0.01,98.6,5,0.04,0,0,0,1,0,0,0,0
21,1.0,1,7.5,1,1,1,0,0,0,0,0,0,0,Nouvelles - PLK,0.69,0.64,0.43,0.21,0.0,124.3,8,0.25,1,0,0,0,1,0,0,0
19,1.0,1,-1.9999999999999996,1,0,0,0,0,0,0,0,0,0,Subeme la radio - Enrique Iglesias,0.82,0.78,0.85,0.18,0.0,126.4,2,0.06,0,1,0,0,0,0,0,0
26,0.0,1,6.75,1,0,0,0,0,0,0,0,1,0,The Beginning - Sullivan King,0.48,0.96,0.52,0.07,0.12,148.6,11,0.08,0,1,0,0,0,0,1,0
22,0.0,1,6.0,1,1,1,0,1,0,0,0,0,0,São Paulo - The Weeknd,0.76,0.68,0.54,0.26,0.06,118.3,6,0.05,0,0,1,0,0,0,1,0
22,1.0,1,9.25,1,0,1,0,1,0,0,0,0,1,Pirate-Stormy,0.74,0.82,0.62,0.13,0.02,128.7,10,0.08,1,0,0,0,0,0,1,0
21,1.0,1,-2.9999999999999982,1,1,1,0,1,1,0,0,0,0,Bitter sweet symphony - the verve,0.52,0.67,0.43,0.38,0.14,118.5,3,0.04,1,0,0,0,1,0,0,0
30,0.0,1,8.0,1,1,1,1,1,1,0,1,1,0,I WANNA BE YOURS - Arctic Monkeys,0.48,0.59,0.36,0.42,0.08,104.7,9,0.05,0,1,0,0,0,0,1,0
22,1.0,1,10.25,1,0,1,0,0,0,0,0,0,0,"Buscando - GTA, Jenn Morel",0.84,0.83,0.74,0.12,0.01,127.6,1,0.15,1,0,0,0,1,0,0,0
18,0.0,1,-1.0000000000000009,1,0,0,0,1,0,0,0,0,1,Earthquake - Jisoo,0.76,0.79,0.68,0.16,0.01,124.8,5,0.07,1,0,0,0,0,0,0,0
18,0.0,1,0.0,1,1,0,0,0,0,0,1,0,0,The box - roddy ricch,0.74,0.78,0.52,0.13,0.0,126.4,8,0.22,0,0,0,1,0,0,1,0
24,0.0,1,3.0000000000000004,0,1,1,0,1,0,0,0,0,1,Les plus bornés - Léman,0.58,0.62,0.46,0.35,0.0,116.8,4,0.12,0,0,1,0,0,0,0,0
18,0.0,1,7.0,1,1,0,0,0,0,0,0,0,0,May I ask - Luke Chiand,0.53,0.48,0.66,0.73,0.04,96.4,7,0.04,1,0,0,0,1,0,0,0
21,1.0,0,13.0,1,0,0,0,0,0,0,0,0,1,En barranquilla me quedo - Joe Arroyo,0.85,0.76,0.92,0.28,0.03,124.6,11,0.06,1,0,0,0,0,0,1,0
21,1.0,0,7.0,1,1,1,0,1,1,0,0,1,1,Kifak inta - fairuz,0.42,0.38,0.68,0.82,0.06,88.4,6,0.05,0,1,0,0,1,0,0,0
19,1.0,1,5.75,1,0,1,0,0,0,0,0,0,0,Meuda - Tiakola,0.73,0.68,0.52,0.19,0.0,128.6,1,0.24,0,1,0,0,1,0,0,0
18,0.0,1,-2.5,0,0,1,0,0,0,0,0,0,0,Anderson Park - Dali,0.68,0.72,0.64,0.32,0.02,112.6,8,0.07,0,1,0,0,1,0,0,0
19,1.0,1,-1.7500000000000004,0,0,1,0,0,1,0,0,0,1,Like Him - Tyler the creator,0.71,0.64,0.46,0.28,0.01,116.4,3,0.18,0,1,0,0,1,0,0,0
20,0.0,1,-4.750000000000001,1,0,1,0,1,0,0,0,1,0,One Call Away - Charlie Puth,0.67,0.56,0.72,0.48,0.0,106.8,5,0.04,0,0,1,0,0,0,1,0
22,0.0,1,5.5,1,0,1,1,0,0,0,0,0,1,Soft spot - keshi,0.68,0.42,0.58,0.76,0.03,98.4,9,0.05,0,1,0,0,1,0,0,0
20,1.0,1,5.0,1,1,0,0,0,0,0,0,0,0,Happy - Pharrell Williams,0.83,0.72,0.96,0.21,0.0,126.3,2,0.06,1,0,0,0,0,0,1,0
19,,0,5.249999999999999,1,1,0,0,0,1,0,0,1,0,NEMONEMO - YENA,0.78,0.82,0.73,0.16,0.02,127.4,10,0.06,0,0,0,1,0,0,0,0
23,0.0,1,5.0,1,1,0,0,0,0,0,1,0,0,シルエット－Kana-boom,0.71,0.79,0.68,0.23,0.04,132.6,7,0.05,1,0,0,0,0,0,0,0
22,0.0,1,1.25,1,1,0,0,0,1,0,0,0,0,กลัว - tattoo colour,0.52,0.64,0.37,0.48,0.01,114.7,3,0.04,1,0,0,0,0,0,1,0
21,1.0,1,-0.2500000000000002,1,1,1,0,0,0,0,0,0,0,果てない空/嵐,0.63,0.58,0.72,0.52,0.03,106.8,5,0.03,1,0,0,0,0,0,0,0
23,1.0,1,2.5,1,1,0,0,0,0,0,1,0,0,オレンジ - spyair,0.68,0.74,0.62,0.28,0.01,124.6,9,0.04,1,0,0,0,0,0,0,0
23,1.0,1,3.2499999999999996,1,0,1,0,0,0,0,0,0,1,Mona Lisa - Jhope,0.76,0.72,0.58,0.18,0.01,126.5,1,0.13,1,0,0,0,1,0,0,0
22,1.0,0,0.5000000000000004,1,0,0,0,0,0,0,0,0,0,shape of you,0.83,0.66,0.78,0.32,0.0,122.8,6,0.05,1,0,0,0,0,1,0,0
19,1.0,1,9.25,1,1,0,0,1,0,0,1,0,0,Toxic Garbage Island - Gojira,0.33,0.98,0.24,0.03,0.42,178.4,11,0.14,0,1,0,0,0,0,1,0
